,precision,recall,f1-score,support,y_variable,model
-1.0,0.4398003742981909,0.8284371327849589,0.5745721271393643,851.0,ps_Entry/Exit_sma,Naive Bayes
0.0,0.5217391304347826,0.38028169014084506,0.4399185336048879,852.0,ps_Entry/Exit_sma,Naive Bayes
1.0,0.1617161716171617,0.05946601941747573,0.08695652173913043,824.0,ps_Entry/Exit_sma,Naive Bayes
accuracy,0.4265927977839335,0.4265927977839335,0.4265927977839335,0.4265927977839335,ps_Entry/Exit_sma,Naive Bayes
macro avg,0.37441855878337843,0.4227282807810932,0.36714906082779425,2527.0,ps_Entry/Exit_sma,Naive Bayes
weighted avg,0.3767494986429507,0.4265927977839335,0.37017160456668263,2527.0,ps_Entry/Exit_sma,Naive Bayes
-1.0,1.0,1.0,1.0,851.0,ps_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,852.0,ps_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,824.0,ps_Entry/Exit_sma,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_sma,Random Forest Classifier
macro avg,1.0,1.0,1.0,2527.0,ps_Entry/Exit_sma,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2527.0,ps_Entry/Exit_sma,Random Forest Classifier
-1.0,0.2983271375464684,0.3772032902467685,0.3331603528801245,851.0,ps_Entry/Exit_sma,Logistic Regression
0.0,0.25809617271835134,0.3086854460093897,0.28113308391234637,852.0,ps_Entry/Exit_sma,Logistic Regression
1.0,0.16898148148148148,0.08859223300970874,0.11624203821656053,824.0,ps_Entry/Exit_sma,Logistic Regression
accuracy,0.25999208547685004,0.25999208547685004,0.25999208547685004,0.25999208547685004,ps_Entry/Exit_sma,Logistic Regression
macro avg,0.24180159724876707,0.2581603230886223,0.24351182500301047,2527.0,ps_Entry/Exit_sma,Logistic Regression
weighted avg,0.2425860997027387,0.25999208547685004,0.24488654027888837,2527.0,ps_Entry/Exit_sma,Logistic Regression
-1.0,0.49958779884583676,0.7769230769230769,0.6081284495735073,780.0,ps_Entry/Exit_ema,Naive Bayes
0.0,0.655328798185941,0.3511543134872418,0.45727848101265817,823.0,ps_Entry/Exit_ema,Naive Bayes
1.0,0.45549738219895286,0.4269938650306748,0.44078530715642805,815.0,ps_Entry/Exit_ema,Naive Bayes
accuracy,0.5140612076095947,0.5140612076095947,0.5140612076095947,0.5140612076095947,ps_Entry/Exit_ema,Naive Bayes
macro avg,0.5368046597435768,0.5183570851469979,0.5020640792475312,2418.0,ps_Entry/Exit_ema,Naive Bayes
weighted avg,0.5377355047555538,0.5140612076095947,0.5003806475902574,2418.0,ps_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,780.0,ps_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,823.0,ps_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,815.0,ps_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,2418.0,ps_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2418.0,ps_Entry/Exit_ema,Random Forest Classifier
-1.0,0.4923547400611621,0.4128205128205128,0.44909344490934444,780.0,ps_Entry/Exit_ema,Logistic Regression
0.0,0.32451499118165783,0.4471445929526124,0.3760858456821666,823.0,ps_Entry/Exit_ema,Logistic Regression
1.0,0.4634920634920635,0.35828220858895704,0.40415224913494807,815.0,ps_Entry/Exit_ema,Logistic Regression
accuracy,0.40612076095947064,0.40612076095947064,0.40612076095947064,0.40612076095947064,ps_Entry/Exit_ema,Logistic Regression
macro avg,0.4267872649116278,0.40608243812069406,0.4097771799088197,2418.0,ps_Entry/Exit_ema,Logistic Regression
weighted avg,0.42549982081730464,0.40612076095947064,0.40909661748167675,2418.0,ps_Entry/Exit_ema,Logistic Regression
-1.0,0.5738738738738739,0.6954148471615721,0.6288252714708786,916.0,pfcf_Entry/Exit_sma,Naive Bayes
0.0,0.7047913446676971,0.5106382978723404,0.5922077922077922,893.0,pfcf_Entry/Exit_sma,Naive Bayes
1.0,0.5205784204671857,0.5525383707201889,0.5360824742268041,847.0,pfcf_Entry/Exit_sma,Naive Bayes
accuracy,0.5877259036144579,0.5877259036144579,0.5877259036144579,0.5877259036144579,pfcf_Entry/Exit_sma,Naive Bayes
macro avg,0.5997478796695855,0.5861971719180338,0.585705179301825,2656.0,pfcf_Entry/Exit_sma,Naive Bayes
weighted avg,0.6008949779338962,0.5877259036144579,0.5869380130944979,2656.0,pfcf_Entry/Exit_sma,Naive Bayes
-1.0,1.0,1.0,1.0,916.0,pfcf_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,893.0,pfcf_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,847.0,pfcf_Entry/Exit_sma,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pfcf_Entry/Exit_sma,Random Forest Classifier
macro avg,1.0,1.0,1.0,2656.0,pfcf_Entry/Exit_sma,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2656.0,pfcf_Entry/Exit_sma,Random Forest Classifier
-1.0,0.4694010416666667,0.787117903930131,0.5880913539967374,916.0,pfcf_Entry/Exit_sma,Logistic Regression
0.0,0.4935483870967742,0.5139977603583427,0.503565551289084,893.0,pfcf_Entry/Exit_sma,Logistic Regression
1.0,0.3,0.06729634002361275,0.10993249758919962,847.0,pfcf_Entry/Exit_sma,Logistic Regression
accuracy,0.46573795180722893,0.46573795180722893,0.46573795180722893,0.46573795180722893,pfcf_Entry/Exit_sma,Logistic Regression
macro avg,0.42098314292114697,0.45613733477069557,0.4005298009583403,2656.0,pfcf_Entry/Exit_sma,Logistic Regression
